"word","part_of_speech","definition"
"a","interjection","ah"
"a","interjection","ha"
"a","interjection","uh"
"a","interjection","oh"
"a","interjection","ooh"
"a","interjection","aw"
"a","interjection","well (emotion word)"
"akesi","mod","amphibian-"
"akesi","mod","reptilian-"
"akesi","mod","slimy"
"akesi","noun","reptile"
"akesi","noun","amphibian"
"akesi","noun","non-cute animal"
"ala","mod","no"
"ala","mod","not"
"ala","mod","none"
"ala","mod","un-"
"ala","number","null"
"ala","number","0"
"ala","interjection","no"
"ala","noun","nothing"
"ala","noun","negation"
"ala","noun","zero"
"alasa","mod","hunting-"
"alasa","mod","-hunting"
"alasa","mod","hunting"
"alasa","noun","hunting"
"alasa","verb transitive","to hunt"
"alasa","verb transitive","to forage"
"ale","mod","all"
"ale","mod","every"
"ale","mod","complete"
"ale","mod","whole (ale = ali)"
"ale","noun","everything"
"ale","noun","anything"
"ale","noun","life"
"ale","noun","the universe"
"ali","mod","all"
"ali","mod","every"
"ali","mod","complete"
"ali","mod","whole (ale = ali)"
"ali","noun","everything"
"ali","noun","anything"
"ali","noun","life"
"ali","noun","the universe"
"anpa","mod","low"
"anpa","mod","lower"
"anpa","mod","bottom"
"anpa","mod","down"
"anpa","noun","bottom"
"anpa","noun","lower part"
"anpa","noun","under"
"anpa","noun","below"
"anpa","noun","floor"
"anpa","noun","beneath"
"anpa","verb intransitive","to prostrate oneself"
"anpa","verb transitive","to defeat"
"anpa","verb transitive","to beat"
"anpa","verb transitive","to vanquish"
"anpa","verb transitive","to conquer"
"anpa","verb transitive","to enslave"
"ante","mod","different"
"ante","mod","dissimilar"
"ante","mod","changed"
"ante","mod","other"
"ante","mod","unequal"
"ante","mod","differential"
"ante","noun","difference"
"ante","noun","distinction"
"ante","noun","differential"
"ante","noun","variation"
"ante","noun","variance"
"ante","noun","disagreement"
"ante","verb transitive","to change"
"ante","verb transitive","to alter"
"ante","verb transitive","to modify"
"anu","conjunction","or (used for decision questions)"
"awen","mod","remaining"
"awen","mod","stationary"
"awen","mod","permanent"
"awen","mod","sedentary"
"awen","noun","inertia"
"awen","noun","continuity"
"awen","noun","continuum"
"awen","noun","stay"
"awen","verb intransitive","to stay"
"awen","verb intransitive","to wait"
"awen","verb intransitive","to remain"
"awen","verb transitive","to keep"
"e","particle","An 'e' introduces a direct object. Don't use 'e' before or after the other separators 'e', 'la', 'li', 'pi', 'o', '.', '!', '?', ':', ','. "
"en","conjunction","and (used to coordinate head nouns)"
"esun","mod","commercial"
"esun","mod","trade"
"esun","mod","marketable"
"esun","mod","for sale"
"esun","mod","salable"
"esun","mod","deductible"
"esun","noun","market"
"esun","noun","shop"
"esun","noun","fair"
"esun","noun","bazaar"
"esun","noun","business"
"esun","noun","transaction"
"esun","verb transitive","to buy"
"esun","verb transitive","to sell"
"esun","verb transitive","to barter"
"esun","verb transitive","to swap"
"ijo","mod","of something"
"ijo","noun","thing"
"ijo","noun","something"
"ijo","noun","stuff"
"ijo","noun","anything"
"ijo","noun","object"
"ijo","verb transitive","to objectify"
"ike","mod","bad"
"ike","mod","negative"
"ike","mod","wrong"
"ike","mod","evil"
"ike","mod","overly complex"
"ike","interjection","oh dear"
"ike","interjection","woe"
"ike","interjection","alas"
"ike","noun","negativity"
"ike","noun","badness"
"ike","noun","evil"
"ike","verb intransitive","to be bad"
"ike","verb intransitive","to suck"
"ike","verb transitive","to make bad"
"ike","verb transitive","to worsen"
"ilo","mod","useful"
"ilo","noun","tool"
"ilo","noun","device"
"ilo","noun","machine"
"ilo","noun","thing used for a specific purpose"
"insa","mod","inner"
"insa","mod","internal"
"insa","noun","inside"
"insa","noun","inner world"
"insa","noun","centre"
"insa","noun","stomach"
"jaki","mod","dirty"
"jaki","mod","gross"
"jaki","mod","filthy"
"jaki","mod","obscene"
"jaki","interjection","ew"
"jaki","interjection","yuck"
"jaki","noun","dirt"
"jaki","noun","pollution"
"jaki","noun","garbage"
"jaki","noun","filth"
"jaki","noun","feces"
"jaki","verb transitive","to pollute"
"jaki","verb transitive","to dirty"
"jan","mod","human"
"jan","mod","somebody's"
"jan","mod","personal"
"jan","mod","of people"
"jan","noun","person"
"jan","noun","people"
"jan","noun","human"
"jan","noun","being"
"jan","noun","somebody"
"jan","noun","anybody"
"jan","verb transitive","to personify"
"jan","verb transitive","to humanize"
"jan","verb transitive","to personalize"
"jelo","mod","yellowish"
